Date,Open,High,Low,Close
7-April-1997,893.37,893.37,882.79,884.62,
9-April-1997,888.93,916.90,888.93,915.45,
10-April-1997,913.41,913.41,893.01,902.21,
11-April-1997,897.28,910.63,882.81,908.89,
12-April-1997,907.03,907.03,896.09,899.39,
15-April-1997,902.51,912.18,902.51,910.85,
17-April-1997,911.19,924.32,909.94,922.25,
21-April-1997,927.74,946.82,927.74,945.53,
22-April-1997,948.27,954.20,942.20,945.77,
23-April-1997,946.04,959.23,945.23,951.58,
24-April-1997,952.09,952.69,943.76,946.13,
25-April-1997,945.16,950.35,943.49,950.01,
28-April-1997,951.59,956.59,947.35,950.93,
29-April-1997,950.28,951.65,941.54,946.54,
30-April-1997,954.62,962.12,954.18,954.71,
2-May-1997,954.15,954.15,944.81,947.15,
5-May-1997,945.84,947.42,937.17,937.42,
6-May-1997,938.09,943.22,932.75,942.19,
7-May-1997,943.05,943.94,934.68,935.05,
9-May-1997,936.30,949.34,936.30,939.35,
12-May-1997,939.99,944.41,932.62,933.33,
13-May-1997,933.22,935.67,924.50,926.72,
14-May-1997,926.80,937.74,916.02,936.68,
15-May-1997,936.16,942.12,931.21,936.55,
16-May-1997,936.73,942.40,935.13,940.56,
19-May-1997,942.43,951.65,942.43,945.46,
20-May-1997,945.85,947.44,939.67,942.28,
21-May-1997,941.82,941.82,933.94,934.58,
22-May-1997,935.19,936.20,929.57,932.72,
23-May-1997,932.38,934.65,924.86,926.68,
26-May-1997,926.92,932.72,923.60,925.05,
27-May-1997,925.16,928.48,920.40,922.36,
28-May-1997,924.85,928.37,917.19,919.97,
29-May-1997,919.84,928.17,914.83,928.17,
30-May-1997,928.27,937.21,926.31,935.08,
2-June-1997,935.78,948.32,933.54,947.82,
3-June-1997,948.35,959.88,948.35,954.01,
4-June-1997,954.39,966.51,954.39,960.51,
5-June-1997,960.76,969.67,958.36,962.92,
6-June-1997,963.10,963.66,953.06,954.23,
9-June-1997,954.42,958.46,950.38,953.96,
10-June-1997,954.05,961.32,954.03,959.92,
11-June-1997,960.75,978.47,960.75,976.19,
12-June-1997,976.27,990.55,976.27,990.33,
13-June-1997,990.38,1009.78,990.38,1001.49,
16-June-1997,1004.55,1012.67,997.21,1000.66,
17-June-1997,1001.05,1014.38,1000.25,1014.38,
18-June-1997,1016.04,1030.02,1015.56,1015.73,
19-June-1997,1014.80,1020.10,1007.60,1017.40,
20-June-1997,1019.96,1030.68,1012.18,1016.90,
23-June-1997,1018.58,1026.08,1016.82,1020.34,
24-June-1997,1020.30,1027.33,1015.13,1027.33,
25-June-1997,1028.39,1030.38,1017.29,1021.50,
26-June-1997,1023.18,1032.32,1021.06,1025.46,
27-June-1997,1025.07,1031.49,1022.84,1026.79,
30-June-1997,1039.17,1063.40,1039.17,1059.91,
1-July-1997,1061.41,1069.52,1059.16,1069.26,
2-July-1997,1069.68,1091.61,1068.38,1077.72,
3-July-1997,1078.10,1091.00,1069.88,1074.64,
4-July-1997,1076.50,1080.99,1069.53,1075.65,
7-July-1997,1075.76,1093.10,1073.12,1073.50,
8-July-1997,1072.56,1080.33,1064.42,1079.08,
9-July-1997,1081.02,1104.91,1081.02,1104.70,
10-July-1997,1106.62,1115.89,1099.61,1100.16,
11-July-1997,1099.04,1099.04,1082.54,1087.64,
14-July-1997,1070.85,1071.71,1055.72,1065.65,
15-July-1997,1065.73,1073.82,1061.59,1064.93,
16-July-1997,1067.66,1075.16,1053.63,1056.71,
17-July-1997,1056.82,1060.27,1049.31,1056.91,
18-July-1997,1052.32,1056.35,1037.40,1039.32,
21-July-1997,1040.69,1046.20,1035.44,1045.97,
22-July-1997,1047.57,1055.42,1044.86,1054.65,
23-July-1997,1059.53,1072.96,1055.04,1071.72,
24-July-1997,1075.38,1082.32,1065.61,1066.35,
25-July-1997,1064.69,1065.48,1050.82,1057.40,
28-July-1997,1057.79,1060.51,1053.21,1058.29,
29-July-1997,1058.73,1067.47,1055.90,1067.15,
30-July-1997,1070.45,1075.56,1068.19,1073.21,
31-July-1997,1075.15,1092.67,1073.34,1086.73,
1-August-1997,1090.35,1099.14,1088.64,1097.30,
4-August-1997,1108.19,1131.21,1108.19,1128.59,
5-August-1997,1131.39,1148.23,1131.39,1148.23,
6-August-1997,1153.43,1164.09,1138.46,1142.23,
7-August-1997,1143.69,1147.51,1122.06,1123.72,
8-August-1997,1126.31,1127.65,1104.16,1110.13,
11-August-1997,1122.90,1129.92,1116.18,1129.60,
12-August-1997,1133.11,1135.87,1108.61,1115.79,
13-August-1997,1114.81,1114.81,1098.39,1102.32,
14-August-1997,1103.03,1104.66,1083.31,1089.95,
19-August-1997,1081.10,1081.10,1051.55,1054.97,
20-August-1997,1055.46,1071.75,1050.17,1071.05,
21-August-1997,1074.98,1078.38,1048.60,1052.46,
22-August-1997,1047.25,1049.25,1024.23,1026.19,
26-August-1997,1023.88,1039.64,1023.88,1038.79,
27-August-1997,1044.55,1045.05,1034.43,1036.87,
28-August-1997,1036.14,1036.14,1004.51,1005.01,
29-August-1997,995.32,1001.31,977.97,982.96,
1-September-1997,982.04,999.06,977.96,997.87,
2-September-1997,997.90,1002.44,980.97,999.00,
3-September-1997,1002.74,1013.82,998.25,1002.81,
4-September-1997,1002.52,1012.87,995.37,1011.88,
5-September-1997,1014.34,1019.02,1011.86,1018.13,
8-September-1997,1017.58,1033.66,1013.36,1033.66,
9-September-1997,1035.46,1039.73,1020.05,1020.05,
10-September-1997,1018.10,1024.37,1013.38,1023.22,
11-September-1997,1026.00,1028.50,1014.40,1014.87,
12-September-1997,1015.51,1016.31,1006.33,1009.55,
15-September-1997,1008.05,1022.06,1007.03,1014.55,
16-September-1997,1016.13,1017.95,1009.52,1011.86,
17-September-1997,1012.27,1012.27,988.98,991.92,
18-September-1997,986.84,986.84,971.77,980.95,
19-September-1997,982.50,982.99,964.28,965.15,
22-September-1997,966.36,967.97,949.65,952.20,
23-September-1997,952.74,965.68,950.79,965.39,
24-September-1997,968.36,975.98,965.66,966.65,
25-September-1997,968.19,980.44,968.19,980.38,
26-September-1997,982.09,988.76,979.24,988.11,
29-September-1997,987.10,997.91,985.14,985.85,
30-September-1997,985.46,986.95,978.59,981.55,
1-October-1997,978.36,982.03,968.81,982.03,
3-October-1997,982.47,986.41,965.58,968.29,
6-October-1997,968.62,971.70,964.43,970.65,
