Date,Open,High,Low,Close
30-October-2006,,,,6483.80,
31-October-2006,,,,6392.59,
1-November-2006,,,,6443.28,
2-November-2006,,,,6467.80,
3-November-2006,,,,6472.95,
6-November-2006,,,,6534.39,
7-November-2006,,,,6535.83,
8-November-2006,,,,6455.58,
9-November-2006,,,,6498.29,
10-November-2006,,,,6504.60,
13-November-2006,,,,6582.96,
14-November-2006,,,,6523.28,
15-November-2006,,,,6501.62,
16-November-2006,,,,6484.18,
17-November-2006,,,,6359.47,
20-November-2006,,,,6298.49,
21-November-2006,,,,6416.61,
22-November-2006,,,,6463.78,
23-November-2006,,,,6480.16,
24-November-2006,,,,6523.03,
27-November-2006,,,,6576.38,
28-November-2006,,,,6531.39,
29-November-2006,,,,6635.01,
30-November-2006,,,,6647.08,
1-December-2006,,,,6718.74,
4-December-2006,,,,6776.84,
5-December-2006,,,,6799.99,
6-December-2006,,,,6739.73,
7-December-2006,,,,6767.45,
8-December-2006,,,,6730.42,
11-December-2006,,,,6548.31,
12-December-2006,,,,6278.75,
13-December-2006,,,,6393.74,
14-December-2006,,,,6594.52,
15-December-2006,,,,6667.91,
18-December-2006,,,,6706.62,
19-December-2006,,,,6634.80,
20-December-2006,,,,6620.86,
21-December-2006,,,,6665.44,
22-December-2006,,,,6721.39,
26-December-2006,,,,6805.56,
27-December-2006,,,,6839.36,
28-December-2006,,,,6836.41,
29-December-2006,,,,6892.32,
2-January-2007,,,,7004.10,
3-January-2007,,,,7080.46,
4-January-2007,,,,7150.13,
5-January-2007,,,,7191.55,
8-January-2007,,,,7250.64,
9-January-2007,,,,7211.89,
10-January-2007,,,,7146.27,
11-January-2007,,,,7278.33,
12-January-2007,,,,7371.70,
15-January-2007,,,,7486.71,
16-January-2007,,,,7505.44,
17-January-2007,,,,7577.93,
18-January-2007,,,,7598.45,
19-January-2007,,,,7560.20,
22-January-2007,,,,7565.10,
23-January-2007,,,,7501.28,
24-January-2007,,,,7543.89,
25-January-2007,,,,7576.13,
29-January-2007,,,,7576.51,
31-January-2007,,,,7503.50,
1-February-2007,,,,7532.52,
2-February-2007,,,,7560.72,
5-February-2007,,,,7655.65,
6-February-2007,,,,7662.75,
7-February-2007,,,,7697.81,
8-February-2007,,,,7651.07,
9-February-2007,,,,7490.10,
12-February-2007,,,,7127.26,
13-February-2007,,,,7088.15,
14-February-2007,,,,7067.82,
15-February-2007,,,,7290.26,
19-February-2007,,,,7316.93,
20-February-2007,,,,7214.73,
21-February-2007,,,,7224.39,
