Date,Open,High,Low,Close
5-January-1988,,,,443.68,
6-January-1988,,,,448.15,
7-January-1988,,,,456.68,
8-January-1988,,,,468.00,
11-January-1988,,,,463.39,
12-January-1988,,,,468.50,
13-January-1988,,,,472.35,
14-January-1988,,,,467.65,
15-January-1988,,,,462.65,
18-January-1988,,,,453.64,
19-January-1988,,,,459.69,
20-January-1988,,,,458.43,
21-January-1988,,,,453.18,
25-January-1988,,,,448.04,
27-January-1988,,,,437.24,
29-January-1988,,,,441.95,
1-February-1988,,,,443.19,
2-February-1988,,,,443.40,
3-February-1988,,,,436.45,
4-February-1988,,,,431.50,
5-February-1988,,,,438.50,
8-February-1988,,,,433.64,
9-February-1988,,,,432.00,
10-February-1988,,,,423.92,
11-February-1988,,,,419.14,
12-February-1988,,,,419.74,
15-February-1988,,,,421.17,
17-February-1988,,,,426.39,
18-February-1988,,,,421.90,
22-February-1988,,,,406.36,
23-February-1988,,,,406.83,
24-February-1988,,,,404.18,
25-February-1988,,,,398.98,
26-February-1988,,,,403.55,
29-February-1988,,,,411.22,
1-March-1988,,,,406.03,
2-March-1988,,,,402.12,
3-March-1988,,,,407.66,
7-March-1988,,,,401.15,
8-March-1988,,,,405.22,
9-March-1988,,,,412.82,
10-March-1988,,,,419.98,
11-March-1988,,,,428.37,
14-March-1988,,,,419.97,
16-March-1988,,,,420.41,
17-March-1988,,,,417.18,
21-March-1988,,,,405.40,
22-March-1988,,,,402.98,
23-March-1988,,,,402.55,
24-March-1988,,,,394.87,
25-March-1988,,,,393.75,
28-March-1988,,,,390.00,
29-March-1988,,,,398.40,
30-March-1988,,,,398.37,
4-April-1988,,,,397.16,
5-April-1988,,,,406.16,
6-April-1988,,,,413.33,
7-April-1988,,,,415.04,
8-April-1988,,,,408.87,
11-April-1988,,,,404.13,
12-April-1988,,,,406.79,
13-April-1988,,,,409.88,
15-April-1988,,,,405.43,
19-April-1988,,,,413.47,
20-April-1988,,,,424.74,
21-April-1988,,,,431.14,
22-April-1988,,,,442.54,
25-April-1988,,,,454.85,
26-April-1988,,,,447.30,
27-April-1988,,,,465.09,
28-April-1988,,,,474.41,
29-April-1988,,,,471.50,
2-May-1988,,,,482.42,
3-May-1988,,,,472.55,
4-May-1988,,,,473.88,
5-May-1988,,,,471.74,
6-May-1988,,,,483.37,
10-May-1988,,,,496.34,
11-May-1988,,,,500.30,
12-May-1988,,,,511.84,
13-May-1988,,,,504.33,
16-May-1988,,,,512.16,
17-May-1988,,,,506.38,
19-May-1988,,,,522.03,
20-May-1988,,,,539.42,
23-May-1988,,,,536.63,
24-May-1988,,,,524.39,
25-May-1988,,,,541.53,
26-May-1988,,,,556.57,
27-May-1988,,,,557.69,
30-May-1988,,,,575.44,
31-May-1988,,,,579.81,
1-June-1988,,,,572.10,
2-June-1988,,,,587.26,
3-June-1988,,,,618.85,
8-June-1988,,,,628.63,
9-June-1988,,,,613.93,
10-June-1988,,,,601.13,
13-June-1988,,,,616.60,
14-June-1988,,,,601.64,
15-June-1988,,,,597.82,
16-June-1988,,,,605.37,
17-June-1988,,,,594.51,
20-June-1988,,,,594.27,
21-June-1988,,,,577.24,
22-June-1988,,,,582.24,
23-June-1988,,,,586.43,
24-June-1988,,,,575.43,
28-June-1988,,,,574.40,
29-June-1988,,,,583.50,
1-July-1988,,,,577.53,
4-July-1988,,,,570.89,
5-July-1988,,,,556.00,
6-July-1988,,,,553.00,
7-July-1988,,,,552.07,
8-July-1988,,,,567.17,
11-July-1988,,,,579.02,
12-July-1988,,,,588.01,
13-July-1988,,,,583.04,
14-July-1988,,,,577.26,
15-July-1988,,,,576.64,
18-July-1988,,,,595.52,
19-July-1988,,,,607.42,
27-July-1988,,,,604.02,
28-July-1988,,,,596.97,
29-July-1988,,,,603.59,
1-August-1988,,,,609.60,
2-August-1988,,,,604.36,
3-August-1988,,,,599.79,
4-August-1988,,,,600.63,
5-August-1988,,,,604.98,
8-August-1988,,,,600.41,
9-August-1988,,,,600.93,
10-August-1988,,,,600.77,
12-August-1988,,,,593.73,
16-August-1988,,,,589.10,
17-August-1988,,,,595.05,
18-August-1988,,,,596.63,
19-August-1988,,,,598.49,
22-August-1988,,,,599.32,
23-August-1988,,,,594.63,
25-August-1988,,,,597.53,
26-August-1988,,,,590.51,
29-August-1988,,,,585.07,
30-August-1988,,,,586.71,
31-August-1988,,,,593.76,
1-September-1988,,,,610.09,
2-September-1988,,,,606.26,
5-September-1988,,,,620.31,
6-September-1988,,,,609.87,
7-September-1988,,,,611.68,
8-September-1988,,,,621.69,
9-September-1988,,,,620.01,
13-September-1988,,,,621.97,
14-September-1988,,,,626.53,
19-September-1988,,,,643.87,
20-September-1988,,,,636.20,
21-September-1988,,,,642.75,
22-September-1988,,,,646.82,
23-September-1988,,,,644.68,
30-September-1988,,,,662.71,
