"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Mar-2006","     4531.70","     4547.70","     4509.40","     4526.15","       56850807","         1074.93"
"03-Mar-2006","     4530.30","     4555.20","     4526.85","     4550.75","       42276125","          918.95"
"06-Mar-2006","     4551.15","     4608.20","     4551.15","     4602.30","       57988235","         1268.03"
"07-Mar-2006","     4609.65","     4650.65","     4597.45","     4645.30","       70409758","         1745.10"
"08-Mar-2006","     4658.35","     4681.50","     4556.10","     4564.05","       54397339","         1436.52"
"09-Mar-2006","     4576.60","     4586.55","     4509.55","     4584.10","       50859510","         1329.83"
"10-Mar-2006","     4602.90","     4650.30","     4602.90","     4623.50","       43195246","         1041.08"
"13-Mar-2006","     4631.75","     4676.00","     4631.75","     4648.30","       45570180","         1129.27"
"14-Mar-2006","     4656.00","     4686.65","     4623.80","     4631.00","       48617229","         1037.34"
"16-Mar-2006","     4640.70","     4675.35","     4636.00","     4648.90","       42204440","          983.17"
"17-Mar-2006","     4663.10","     4670.15","     4626.85","     4636.90","       35572680","          848.42"
"20-Mar-2006","     4668.85","     4679.25","     4654.20","     4677.10","       37307480","          832.65"
"21-Mar-2006","     4688.65","     4705.40","     4653.25","     4673.70","       39631362","          990.53"
"22-Mar-2006","     4675.65","     4679.75","     4606.40","     4629.70","       35381383","          848.56"
"23-Mar-2006","     4650.75","     4670.10","     4625.90","     4639.50","       35745713","          770.29"
"24-Mar-2006","     4639.55","     4671.75","     4639.55","     4670.20","       34422240","          771.77"
"27-Mar-2006","     4683.30","     4716.60","     4683.30","     4702.25","       42046057","          900.07"
"28-Mar-2006","     4698.15","     4730.90","     4662.00","     4667.30","       38933189","          851.66"
"29-Mar-2006","     4694.15","     4697.55","     4669.80","     4679.55","       33200811","          765.10"
"30-Mar-2006","     4705.00","     4741.70","     4700.80","     4712.70","       59505035","         1211.94"
"31-Mar-2006","     4726.95","     4797.65","     4719.80","     4787.15","       59903099","         1531.79"
"03-Apr-2006","     4796.40","     4901.10","     4796.40","     4896.80","       42285318","         1012.11"
"04-Apr-2006","     4915.65","     4944.45","     4875.40","     4935.65","       55847841","         1075.94"
"05-Apr-2006","     4946.80","     5020.35","     4946.80","     5017.65","       62059500","         1274.22"
"07-Apr-2006","     5044.95","     5081.95","     4932.15","     4949.45","       67138351","         1357.30"
"10-Apr-2006","     4955.85","     4988.50","     4936.90","     4975.20","       46533464","          933.72"
"12-Apr-2006","     4975.05","     5010.95","     4858.00","     4873.20","       49545614","         1039.38"
"13-Apr-2006","     4881.95","     4881.95","     4676.50","     4763.70","       50851523","         1116.65"
"17-Apr-2006","     4810.00","     4856.40","     4805.85","     4849.35","       38172175","          674.31"
"18-Apr-2006","     4878.20","     4925.55","     4878.20","     4910.75","       41651870","          822.68"
"19-Apr-2006","     4927.75","     4953.40","     4894.50","     4918.90","       67182186","         1084.15"
"20-Apr-2006","     4938.15","     4969.55","     4930.15","     4954.90","       50269903","          960.03"
"21-Apr-2006","     4975.65","     4988.90","     4924.50","     4972.65","       53051080","         1119.63"
"24-Apr-2006","     4985.15","     5016.75","     4970.00","     4994.90","       65152167","         1190.65"
"25-Apr-2006","     4997.00","     5022.40","     4921.90","     4927.15","       77655633","         1201.95"
"26-Apr-2006","     4930.55","     5000.50","     4930.55","     4994.75","       65217667","         1092.81"
"27-Apr-2006","     5024.80","     5068.65","     5013.25","     5022.10","      101882638","         1774.63"
"28-Apr-2006","     4885.65","     5033.10","     4739.95","     5021.25","       81352128","         1481.11"
"29-Apr-2006","     5055.20","     5145.55","     5055.20","     5141.15","       40055949","          896.97"
"02-May-2006","     5183.40","     5216.75","     5179.10","     5190.30","       74473249","         1588.75"
"03-May-2006","     5225.50","     5234.65","     5169.65","     5216.90","       79362568","         1634.23"
"04-May-2006","     5237.20","     5265.15","     5206.65","     5241.00","       67118718","         1559.98"
"05-May-2006","     5237.85","     5289.50","     5229.40","     5251.55","       57388795","         1143.41"
"08-May-2006","     5289.00","     5302.25","     5272.75","     5281.25","       50262153","         1126.02"
"09-May-2006","     5301.15","     5303.65","     5241.55","     5285.70","       53555855","         1164.87"
"10-May-2006","     5312.15","     5342.60","     5303.65","     5322.55","       56636461","         1262.06"
"11-May-2006","     5336.35","     5349.35","     5244.70","     5258.05","       47842111","          937.35"
"12-May-2006","     5241.20","     5264.90","     5196.15","     5203.30","       41814747","          935.28"
"15-May-2006","     5187.15","     5205.70","     4972.60","     4994.55","       47926775","         1189.03"
"16-May-2006","     4998.25","     5024.90","     4734.35","     4950.35","       63659199","         1412.54"
"17-May-2006","     5021.60","     5125.15","     5021.60","     5117.40","       47996122","         1113.13"
"18-May-2006","     5082.10","     5082.10","     4757.60","     4781.95","       58763888","         1346.17"
"19-May-2006","     4885.90","     4908.35","     4543.60","     4581.35","       66250489","         1380.50"
"22-May-2006","     4638.90","     4638.90","     3999.55","     4278.80","       76644966","         1178.02"
"23-May-2006","     4288.80","     4444.30","     4125.15","     4435.70","       67311054","         1006.82"
"24-May-2006","     4479.05","     4542.90","     4372.80","     4388.25","       61432452","         1010.62"
"25-May-2006","     4364.85","     4376.10","     4289.45","     4345.00","       72786770","         1077.63"
"26-May-2006","     4389.50","     4502.40","     4389.50","     4453.60","       46235661","          869.41"
"29-May-2006","     4497.95","     4555.80","     4479.75","     4511.60","       36470315","          785.42"
"30-May-2006","     4533.60","     4553.30","     4486.60","     4493.35","       33565469","          776.31"
"31-May-2006","     4403.00","     4430.00","     4257.10","     4399.60","       51255804","         1033.06"
"01-Jun-2006","     4439.30","     4473.40","     4249.45","     4262.75","       44473330","          990.94"
"02-Jun-2006","     4277.15","     4277.15","     4092.50","     4259.75","       51509001","         1031.10"
"05-Jun-2006","     4235.65","     4313.05","     4198.95","     4206.95","       40279466","          787.67"
"06-Jun-2006","     4106.55","     4116.25","     4036.25","     4050.95","       39920543","          787.91"
"07-Jun-2006","     4030.60","     4030.60","     3734.90","     3796.05","       49621159","          927.00"
"08-Jun-2006","     3761.20","     3761.20","     3372.70","     3487.90","       67648607","         1103.84"
