Date,Open,High,Low,Close
10-September-2013,,,,2001.49,
11-September-2013,,,,2005.77,
12-September-2013,,,,1983.26,
13-September-2013,,,,1978.92,
16-September-2013,,,,1956.59,
17-September-2013,,,,1971.03,
18-September-2013,,,,1978.17,
19-September-2013,,,,2010.84,
20-September-2013,,,,2003.69,
23-September-2013,,,,1995.88,
24-September-2013,,,,1994.54,
25-September-2013,,,,1999.32,
26-September-2013,,,,1999.43,
27-September-2013,,,,1997.91,
30-September-2013,,,,1991.88,
1-October-2013,,,,1989.46,
3-October-2013,,,,2025.42,
4-October-2013,,,,2026.44,
7-October-2013,,,,2037.93,
8-October-2013,,,,2035.56,
9-October-2013,,,,2060.22,
10-October-2013,,,,2067.75,
11-October-2013,,,,2084.67,
14-October-2013,,,,2098.97,
15-October-2013,,,,2099.38,
17-October-2013,,,,2078.42,
18-October-2013,,,,2099.41,
21-October-2013,,,,2103.84,
22-October-2013,,,,2111.78,
23-October-2013,,,,2100.57,
24-October-2013,,,,2085.37,
25-October-2013,,,,2086.77,
28-October-2013,,,,2075.05,
29-October-2013,,,,2102.20,
30-October-2013,,,,2109.75,
31-October-2013,,,,2115.37,
1-November-2013,,,,2114.95,
3-November-2013,,,,2124.72,
5-November-2013,,,,2101.45,
6-November-2013,,,,2108.01,
7-November-2013,,,,2113.77,
8-November-2013,,,,2105.71,
11-November-2013,,,,2096.44,
12-November-2013,,,,2083.85,
13-November-2013,,,,2075.28,
14-November-2013,,,,2078.90,
18-November-2013,,,,2100.85,
19-November-2013,,,,2099.98,
20-November-2013,,,,2084.53,
21-November-2013,,,,2054.63,
22-November-2013,,,,2056.36,
25-November-2013,,,,2073.93,
26-November-2013,,,,2065.65,
27-November-2013,,,,2062.40,
28-November-2013,,,,2072.48,
29-November-2013,,,,2093.55,
2-December-2013,,,,2103.41,
3-December-2013,,,,2101.06,
4-December-2013,,,,2093.50,
5-December-2013,,,,2090.19,
6-December-2013,,,,2096.62,
9-December-2013,,,,2113.26,
10-December-2013,,,,2127.87,
11-December-2013,,,,2121.58,
27-December-2013,,,,2190.69,
8-January-2014,,,,2180.91,
15-January-2014,,,,2221.12,
31-March-2014,,,,2258.33,
15-April-2014,,,,2291.27,
9-May-2014,,,,2261.11,
5-June-2014,,,,2399.40,
13-June-2014,,,,2471.73,
18-June-2014,,,,2494.69,
20-June-2014,,,,2492.32,
24-June-2014,,,,2509.26,
26-June-2014,,,,2508.46,
3-July-2014,,,,2596.24,
5-August-2014,,,,2654.04,
8-August-2014,,,,2618.51,
12-August-2014,,,,2652.01,
10-September-2014,,,,2873.39,
15-September-2014,,,,2868.37,
24-September-2014,,,,2862.74,
25-September-2014,,,,2848.87,
1-October-2014,,,,2903.23,
7-October-2014,,,,2869.58,
8-October-2014,,,,2827.14,
10-October-2014,,,,2847.35,
13-October-2014,,,,2855.50,
14-October-2014,,,,2845.65,
16-October-2014,,,,2798.78,
17-October-2014,,,,2772.67,
20-October-2014,,,,2798.46,
21-October-2014,,,,2806.80,
22-October-2014,,,,2835.98,
23-October-2014,,,,2851.19,
27-October-2014,,,,2831.03,
28-October-2014,,,,2835.77,
29-October-2014,,,,2858.28,
30-October-2014,,,,2884.85,
31-October-2014,,,,2926.75,
3-November-2014,,,,2928.15,
5-November-2014,,,,2930.19,
7-November-2014,,,,2946.74,
10-November-2014,,,,2954.30,
11-November-2014,,,,2961.70,
12-November-2014,,,,2964.68,
13-November-2014,,,,2969.34,
14-November-2014,,,,2982.19,
17-November-2014,,,,2992.67,
18-November-2014,,,,2986.12,
19-November-2014,,,,2981.23,
20-November-2014,,,,2995.23,
21-November-2014,,,,2989.92,
24-November-2014,,,,3004.90,
25-November-2014,,,,2996.86,
26-November-2014,,,,2999.66,
27-November-2014,,,,3016.67,
28-November-2014,,,,3026.23,
1-December-2014,,,,3043.38,
2-December-2014,,,,3031.76,
3-December-2014,,,,3055.95,
4-December-2014,,,,3061.41,
5-December-2014,,,,3037.24,
8-December-2014,,,,3002.16,
9-December-2014,,,,2973.34,
10-December-2014,,,,2977.34,
11-December-2014,,,,2955.03,
12-December-2014,,,,2938.84,
15-December-2014,,,,2920.90,
16-December-2014,,,,2884.88,
17-December-2014,,,,2863.22,
18-December-2014,,,,2908.93,
19-December-2014,,,,2927.89,
22-December-2014,,,,2951.82,
23-December-2014,,,,2942.27,
24-December-2014,,,,2916.70,
26-December-2014,,,,2924.03,
29-December-2014,,,,2952.03,
30-December-2014,,,,2955.32,
31-December-2014,,,,2971.85,
1-January-2015,,,,2976.22,
2-January-2015,,,,3002.12,
5-January-2015,,,,2998.01,
6-January-2015,,,,2925.53,
7-January-2015,,,,2927.61,
8-January-2015,,,,2965.47,
9-January-2015,,,,3007.68,
12-January-2015,,,,3022.40,
13-January-2015,,,,3024.04,
14-January-2015,,,,3044.21,
15-January-2015,,,,3069.70,
16-January-2015,,,,3083.67,
19-January-2015,,,,3088.14,
20-January-2015,,,,3096.45,
21-January-2015,,,,3114.79,
22-January-2015,,,,3137.85,
23-January-2015,,,,3146.94,
27-January-2015,,,,3143.99,
28-January-2015,,,,3164.93,
29-January-2015,,,,3165.31,
30-January-2015,,,,3147.83,
2-February-2015,,,,3150.36,
3-February-2015,,,,3150.72,
4-February-2015,,,,3148.23,
5-February-2015,,,,3151.28,
6-February-2015,,,,3134.96,
9-February-2015,,,,3116.88,
10-February-2015,,,,3117.54,
11-February-2015,,,,3148.49,
12-February-2015,,,,3181.00,
13-February-2015,,,,3211.69,
16-February-2015,,,,3211.30,
18-February-2015,,,,3231.05,
19-February-2015,,,,3233.73,
20-February-2015,,,,3219.23,
23-February-2015,,,,3195.35,
24-February-2015,,,,3198.36,
25-February-2015,,,,3195.73,
26-February-2015,,,,3160.08,
27-February-2015,,,,3201.38,
28-February-2015,,,,3222.78,
2-March-2015,,,,3253.83,
3-March-2015,,,,3286.75,
4-March-2015,,,,3275.62,
5-March-2015,,,,3294.11,
9-March-2015,,,,3269.45,
10-March-2015,,,,3265.43,
11-March-2015,,,,3253.27,
12-March-2015,,,,3281.43,
13-March-2015,,,,3240.60,
16-March-2015,,,,3243.81,
17-March-2015,,,,3266.62,
18-March-2015,,,,3255.83,
19-March-2015,,,,3255.99,
20-March-2015,,,,3232.42,
23-March-2015,,,,3216.34,
24-March-2015,,,,3214.51,
25-March-2015,,,,3213.29,
26-March-2015,,,,3160.01,
27-March-2015,,,,3153.01,
30-March-2015,,,,3197.58,
31-March-2015,,,,3203.85,
1-April-2015,,,,3222.96,
6-April-2015,,,,3270.43,
7-April-2015,,,,3282.50,
8-April-2015,,,,3316.78,
9-April-2015,,,,3312.71,
10-April-2015,,,,3317.01,
13-April-2015,,,,3335.46,
15-April-2015,,,,3303.10,
16-April-2015,,,,3276.46,
17-April-2015,,,,3216.98,
20-April-2015,,,,3160.73,
21-April-2015,,,,3119.55,
22-April-2015,,,,3119.26,
23-April-2015,,,,3109.14,
24-April-2015,,,,3063.87,
27-April-2015,,,,3019.52,
28-April-2015,,,,3038.07,
29-April-2015,,,,3046.08,
30-April-2015,,,,3036.71,
4-May-2015,,,,3099.00,
5-May-2015,,,,3110.37,
6-May-2015,,,,3028.52,
7-May-2015,,,,3019.17,
8-May-2015,,,,3052.99,
11-May-2015,,,,3096.29,
12-May-2015,,,,3053.59,
13-May-2015,,,,3077.04,
14-May-2015,,,,3087.65,
15-May-2015,,,,3102.83,
18-May-2015,,,,3135.24,
19-May-2015,,,,3139.98,
20-May-2015,,,,3157.12,
21-May-2015,,,,3166.74,
22-May-2015,,,,3185.73,
25-May-2015,,,,3173.81,
26-May-2015,,,,3166.20,
27-May-2015,,,,3147.66,
28-May-2015,,,,3141.09,
29-May-2015,,,,3185.55,
1-June-2015,,,,3168.98,
2-June-2015,,,,3111.00,
3-June-2015,,,,3074.75,
4-June-2015,,,,3069.50,
5-June-2015,,,,3073.41,
8-June-2015,,,,3039.25,
9-June-2015,,,,3019.29,
10-June-2015,,,,3058.20,
11-June-2015,,,,3015.56,
12-June-2015,,,,2999.03,
15-June-2015,,,,3012.33,
16-June-2015,,,,3021.24,
17-June-2015,,,,3053.00,
18-June-2015,,,,3077.94,
19-June-2015,,,,3094.36,
22-June-2015,,,,3131.49,
23-June-2015,,,,3131.22,
24-June-2015,,,,3127.01,
25-June-2015,,,,3122.84,
26-June-2015,,,,3138.68,
29-June-2015,,,,3102.89,
30-June-2015,,,,3130.11,
1-July-2015,,,,3160.22,
2-July-2015,,,,3164.49,
3-July-2015,,,,3166.73,
7-July-2015,,,,3191.09,
8-July-2015,,,,3156.93,
9-July-2015,,,,3135.27,
10-July-2015,,,,3129.70,
13-July-2015,,,,3171.17,
14-July-2015,,,,3189.66,
15-July-2015,,,,3215.72,
16-July-2015,,,,3238.22,
17-July-2015,,,,3249.26,
20-July-2015,,,,3256.63,
21-July-2015,,,,3227.35,
22-July-2015,,,,3243.75,
23-July-2015,,,,3230.21,
24-July-2015,,,,3211.33,
27-July-2015,,,,3171.40,
28-July-2015,,,,3156.44,
29-July-2015,,,,3187.16,
30-July-2015,,,,3198.03,
31-July-2015,,,,3242.85,
3-August-2015,,,,3245.55,
4-August-2015,,,,3255.18,
5-August-2015,,,,3298.66,
6-August-2015,,,,3305.28,
7-August-2015,,,,3296.31,
10-August-2015,,,,3288.63,
11-August-2015,,,,3282.25,
12-August-2015,,,,3271.76,
13-August-2015,,,,3275.76,
14-August-2015,,,,3310.64,
17-August-2015,,,,3301.83,
18-August-2015,,,,3316.86,
19-August-2015,,,,3344.15,
20-August-2015,,,,3301.78,
21-August-2015,,,,3290.77,
24-August-2015,,,,3090.38,
25-August-2015,,,,3115.91,
26-August-2015,,,,3091.35,
27-August-2015,,,,3146.01,
28-August-2015,,,,3164.72,
31-August-2015,,,,3167.08,
1-September-2015,,,,3122.99,
2-September-2015,,,,3117.53,
3-September-2015,,,,3140.04,
4-September-2015,,,,3080.62,
7-September-2015,,,,3031.36,
8-September-2015,,,,3041.71,
9-September-2015,,,,3081.80,
10-September-2015,,,,3070.44,
11-September-2015,,,,3078.65,
14-September-2015,,,,3105.11,
15-September-2015,,,,3096.73,
16-September-2015,,,,3100.59,
18-September-2015,,,,3128.23,
21-September-2015,,,,3127.48,
22-September-2015,,,,3097.99,
23-September-2015,,,,3103.17,
24-September-2015,,,,3123.47,
28-September-2015,,,,3101.89,
29-September-2015,,,,3098.15,
30-September-2015,,,,3150.52,
1-October-2015,,,,3165.78,
5-October-2015,,,,3202.08,
6-October-2015,,,,3209.79,
7-October-2015,,,,3206.20,
8-October-2015,,,,3193.84,
9-October-2015,,,,3202.36,
12-October-2015,,,,3175.35,
13-October-2015,,,,3165.21,
14-October-2015,,,,3152.09,
15-October-2015,,,,3162.90,
16-October-2015,,,,3172.87,
20-October-2015,,,,3200.47,
21-October-2015,,,,3196.85,
23-October-2015,,,,3193.74,
26-October-2015,,,,3186.80,
27-October-2015,,,,3188.26,
28-October-2015,,,,3185.48,
29-October-2015,,,,3168.60,
30-October-2015,,,,3156.68,
2-November-2015,,,,3150.78,
3-November-2015,,,,3163.16,
4-November-2015,,,,3150.29,
5-November-2015,,,,3114.04,
6-November-2015,,,,3097.38,
9-November-2015,,,,3087.90,
10-November-2015,,,,3039.63,
11-November-2015,,,,3060.03,
13-November-2015,,,,3017.34,
16-November-2015,,,,3008.92,
17-November-2015,,,,3023.29,
18-November-2015,,,,2998.89,
19-November-2015,,,,3030.33,
20-November-2015,,,,3046.75,
23-November-2015,,,,3055.16,
24-November-2015,,,,3044.28,
26-November-2015,,,,3047.55,
27-November-2015,,,,3053.54,
30-November-2015,,,,3051.92,
1-December-2015,,,,3068.10,
2-December-2015,,,,3068.95,
3-December-2015,,,,3044.53,
4-December-2015,,,,3033.22,
7-December-2015,,,,3042.26,
8-December-2015,,,,3018.39,
9-December-2015,,,,2974.64,
10-December-2015,,,,2999.01,
11-December-2015,,,,2987.27,
14-December-2015,,,,3008.56,
15-December-2015,,,,3028.14,
16-December-2015,,,,3045.34,
17-December-2015,,,,3080.50,
18-December-2015,,,,3059.01,
21-December-2015,,,,3068.21,
22-December-2015,,,,3059.02,
23-December-2015,,,,3083.60,
24-December-2015,,,,3085.60,
28-December-2015,,,,3107.34,
29-December-2015,,,,3110.15,
30-December-2015,,,,3096.99,
31-December-2015,,,,3113.44,
1-January-2016,,,,3120.76,
4-January-2016,,,,3081.62,
5-January-2016,,,,3078.99,
6-January-2016,,,,3066.79,
7-January-2016,,,,2999.45,
8-January-2016,,,,3013.48,
11-January-2016,,,,2988.06,
12-January-2016,,,,2974.62,
13-January-2016,,,,2974.61,
14-January-2016,,,,2981.08,
