Date,Open,High,Low,Close
11-April-2012,,,,1685.14,
12-April-2012,,,,1699.25,
13-April-2012,,,,1686.49,
16-April-2012,,,,1698.32,
17-April-2012,,,,1709.10,
18-April-2012,,,,1715.35,
19-April-2012,,,,1718.46,
20-April-2012,,,,1705.29,
23-April-2012,,,,1675.47,
24-April-2012,,,,1673.93,
25-April-2012,,,,1664.46,
26-April-2012,,,,1657.12,
27-April-2012,,,,1651.51,
30-April-2012,,,,1671.87,
2-May-2012,,,,1670.11,
3-May-2012,,,,1653.11,
4-May-2012,,,,1625.70,
7-May-2012,,,,1635.72,
8-May-2012,,,,1610.72,
9-May-2012,,,,1591.75,
10-May-2012,,,,1590.71,
11-May-2012,,,,1577.18,
14-May-2012,,,,1564.86,
15-May-2012,,,,1573.78,
16-May-2012,,,,1555.76,
17-May-2012,,,,1554.74,
18-May-2012,,,,1553.17,
21-May-2012,,,,1562.12,
22-May-2012,,,,1552.13,
23-May-2012,,,,1544.19,
24-May-2012,,,,1557.72,
25-May-2012,,,,1564.95,
28-May-2012,,,,1583.88,
29-May-2012,,,,1582.35,
30-May-2012,,,,1560.69,
31-May-2012,,,,1563.90,
1-June-2012,,,,1540.99,
4-June-2012,,,,1536.53,
5-June-2012,,,,1543.31,
6-June-2012,,,,1571.64,
7-June-2012,,,,1583.66,
8-June-2012,,,,1588.16,
11-June-2012,,,,1582.94,
12-June-2012,,,,1592.91,
13-June-2012,,,,1592.64,
14-June-2012,,,,1574.31,
15-June-2012,,,,1584.99,
18-June-2012,,,,1567.73,
19-June-2012,,,,1571.74,
20-June-2012,,,,1586.11,
21-June-2012,,,,1600.70,
22-June-2012,,,,1600.74,
25-June-2012,,,,1600.57,
26-June-2012,,,,1606.89,
27-June-2012,,,,1613.00,
28-June-2012,,,,1615.00,
29-June-2012,,,,1642.22,
2-July-2012,,,,1656.80,
3-July-2012,,,,1669.67,
4-July-2012,,,,1680.46,
5-July-2012,,,,1694.48,
6-July-2012,,,,1684.90,
9-July-2012,,,,1665.37,
10-July-2012,,,,1680.56,
11-July-2012,,,,1676.45,
12-July-2012,,,,1668.65,
13-July-2012,,,,1664.01,
16-July-2012,,,,1656.20,
17-July-2012,,,,1646.16,
18-July-2012,,,,1651.38,
19-July-2012,,,,1655.72,
20-July-2012,,,,1654.72,
23-July-2012,,,,1632.74,
24-July-2012,,,,1639.39,
25-July-2012,,,,1629.92,
26-July-2012,,,,1599.64,
27-July-2012,,,,1587.25,
30-July-2012,,,,1612.69,
31-July-2012,,,,1621.81,
1-August-2012,,,,1635.64,
2-August-2012,,,,1642.44,
3-August-2012,,,,1640.56,
6-August-2012,,,,1648.94,
7-August-2012,,,,1655.14,
8-August-2012,,,,1648.79,
9-August-2012,,,,1643.20,
10-August-2012,,,,1641.60,
13-August-2012,,,,1654.57,
14-August-2012,,,,1659.16,
16-August-2012,,,,1660.06,
17-August-2012,,,,1661.29,
21-August-2012,,,,1667.88,
22-August-2012,,,,1663.40,
23-August-2012,,,,1661.72,
24-August-2012,,,,1653.75,
27-August-2012,,,,1638.65,
28-August-2012,,,,1622.73,
29-August-2012,,,,1615.43,
30-August-2012,,,,1621.67,
31-August-2012,,,,1623.61,
3-September-2012,,,,1623.21,
4-September-2012,,,,1633.65,
5-September-2012,,,,1626.42,
6-September-2012,,,,1632.00,
7-September-2012,,,,1647.16,
10-September-2012,,,,1661.66,
11-September-2012,,,,1665.55,
12-September-2012,,,,1671.51,
13-September-2012,,,,1668.26,
14-September-2012,,,,1677.78,
17-September-2012,,,,1694.89,
18-September-2012,,,,1708.14,
20-September-2012,,,,1698.83,
21-September-2012,,,,1727.59,
24-September-2012,,,,1736.29,
25-September-2012,,,,1748.54,
26-September-2012,,,,1755.07,
27-September-2012,,,,1763.51,
28-September-2012,,,,1782.86,
1-October-2012,,,,1800.84,
3-October-2012,,,,1810.70,
4-October-2012,,,,1817.14,
5-October-2012,,,,1802.61,
8-October-2012,,,,1792.93,
9-October-2012,,,,1803.54,
10-October-2012,,,,1781.69,
11-October-2012,,,,1799.61,
12-October-2012,,,,1800.36,
15-October-2012,,,,1801.46,
16-October-2012,,,,1789.70,
17-October-2012,,,,1792.20,
18-October-2012,,,,1810.17,
19-October-2012,,,,1798.95,
22-October-2012,,,,1800.52,
23-October-2012,,,,1794.34,
25-October-2012,,,,1794.62,
26-October-2012,,,,1774.11,
29-October-2012,,,,1765.61,
30-October-2012,,,,1748.31,
31-October-2012,,,,1763.61,
1-November-2012,,,,1779.38,
2-November-2012,,,,1788.57,
5-November-2012,,,,1785.77,
6-November-2012,,,,1793.60,
7-November-2012,,,,1808.66,
8-November-2012,,,,1810.73,
9-November-2012,,,,1796.66,
12-November-2012,,,,1810.85,
13-November-2012,,,,1824.02,
15-November-2012,,,,1821.15,
16-November-2012,,,,1801.60,
19-November-2012,,,,1784.13,
20-November-2012,,,,1771.42,
21-November-2012,,,,1779.56,
22-November-2012,,,,1787.31,
23-November-2012,,,,1790.37,
26-November-2012,,,,1811.10,
27-November-2012,,,,1833.74,
29-November-2012,,,,1852.23,
30-November-2012,,,,1868.21,
3-December-2012,,,,1887.89,
4-December-2012,,,,1898.30,
5-December-2012,,,,1903.38,
6-December-2012,,,,1915.42,
7-December-2012,,,,1911.12,
10-December-2012,,,,1920.04,
11-December-2012,,,,1905.82,
12-December-2012,,,,1907.93,
13-December-2012,,,,1887.44,
14-December-2012,,,,1897.98,
17-December-2012,,,,1905.20,
18-December-2012,,,,1920.58,
19-December-2012,,,,1931.61,
20-December-2012,,,,1930.90,
21-December-2012,,,,1900.79,
24-December-2012,,,,1906.94,
26-December-2012,,,,1918.56,
27-December-2012,,,,1910.17,
28-December-2012,,,,1921.29,
31-December-2012,,,,1928.75,
1-January-2013,,,,1951.97,
2-January-2013,,,,1962.98,
3-January-2013,,,,1972.49,
4-January-2013,,,,1977.44,
7-January-2013,,,,1980.48,
8-January-2013,,,,1980.67,
9-January-2013,,,,1973.09,
10-January-2013,,,,1965.98,
11-January-2013,,,,1939.17,
14-January-2013,,,,1961.09,
15-January-2013,,,,1963.41,
16-January-2013,,,,1936.93,
17-January-2013,,,,1939.97,
18-January-2013,,,,1933.59,
21-January-2013,,,,1935.03,
22-January-2013,,,,1917.23,
23-January-2013,,,,1904.04,
24-January-2013,,,,1864.47,
25-January-2013,,,,1891.57,
28-January-2013,,,,1894.86,
29-January-2013,,,,1880.92,
30-January-2013,,,,1878.64,
31-January-2013,,,,1889.18,
1-February-2013,,,,1891.95,
4-February-2013,,,,1876.39,
5-February-2013,,,,1864.81,
6-February-2013,,,,1868.56,
7-February-2013,,,,1850.66,
8-February-2013,,,,1837.46,
11-February-2013,,,,1835.41,
12-February-2013,,,,1833.28,
13-February-2013,,,,1822.24,
14-February-2013,,,,1796.56,
15-February-2013,,,,1797.93,
18-February-2013,,,,1808.15,
19-February-2013,,,,1828.44,
20-February-2013,,,,1827.32,
21-February-2013,,,,1794.26,
22-February-2013,,,,1796.32,
25-February-2013,,,,1781.04,
26-February-2013,,,,1750.01,
27-February-2013,,,,1762.05,
28-February-2013,,,,1721.78,
1-March-2013,,,,1733.89,
4-March-2013,,,,1711.29,
5-March-2013,,,,1737.00,
6-March-2013,,,,1752.11,
7-March-2013,,,,1761.71,
8-March-2013,,,,1778.00,
11-March-2013,,,,1782.18,
