"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-Jul-2013","     4574.15","     4585.45","     4526.25","     4531.80","      688570828","        13891.69"
"26-Jul-2013","     4552.10","     4557.85","     4491.65","     4507.25","      525522677","        11102.38"
"29-Jul-2013","     4496.30","     4500.20","     4456.75","     4459.90","      463944315","         8529.61"
"30-Jul-2013","     4462.50","     4471.95","     4386.65","     4390.35","      536961572","         9785.70"
"31-Jul-2013","     4376.95","     4383.35","     4319.70","     4379.65","      724307725","        14038.11"
"01-Aug-2013","     4402.70","     4428.40","     4322.25","     4354.00","      701539684","        12462.87"
"02-Aug-2013","     4369.35","     4376.80","     4290.15","     4314.95","      666357410","        11072.60"
"05-Aug-2013","     4320.15","     4339.95","     4299.45","     4323.35","      562802292","         9387.66"
"06-Aug-2013","     4305.15","     4305.15","     4199.55","     4214.15","      617918538","        10395.09"
"07-Aug-2013","     4217.80","     4240.50","     4184.85","     4213.85","      677807191","        11997.84"
"08-Aug-2013","     4208.45","     4255.30","     4208.45","     4250.35","      551636280","        10626.66"
"12-Aug-2013","     4279.10","     4311.80","     4249.55","     4293.20","      534679026","        10793.72"
"13-Aug-2013","     4286.75","     4363.70","     4276.10","     4360.65","      585815376","        11037.38"
"14-Aug-2013","     4372.50","     4398.05","     4362.45","     4392.05","      616227453","        10982.87"
"16-Aug-2013","     4365.60","     4368.25","     4217.10","     4224.30","      631317873","        13386.15"
"19-Aug-2013","     4214.55","     4214.55","     4114.85","     4151.95","      565562909","        10727.08"
"20-Aug-2013","     4109.75","     4149.05","     4077.85","     4138.40","      627527414","        11928.09"
"21-Aug-2013","     4202.25","     4209.55","     4048.55","     4069.45","      660888077","        13153.85"
"22-Aug-2013","     4052.95","     4142.70","     4032.15","     4136.10","      651091263","        13293.52"
"23-Aug-2013","     4152.05","     4187.70","     4124.75","     4183.65","      564174054","        11627.54"
"26-Aug-2013","     4203.95","     4228.00","     4179.25","     4194.50","      538070771","         9911.25"
